ID,method,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,longMethod,longParam,messageChains,featureEnvy
2,com.puppycrawl.tools.checkstyle.PropertyCacheFile:alreadyChecked,0,3,0,2,0.8,0,4,5,0,0.7497064471244812,0.4893545230443332,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.WhitespaceAroundTest:testIt3,0,3,0,0,0.0,0,5,5,0,0.0016198406228795648,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.Main:loadProperties,1,6,0,1,0.25,0,3,16,0,0.14373749494552612,0.7427813527082076,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.WhitespaceAroundTest:testIt2,0,3,0,0,0.0,0,3,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.VisibilityModifierCheckTest:testIgnoreAccess,0,4,0,0,0.0,0,3,8,0,0.0033562497701495886,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.HiddenFieldCheckTest:testReordered,0,3,0,0,0.3333333333333333,0,3,6,0,0.0,0.2607392070376624,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.XMLLogger:encode,3,7,0,1,0.11764705882352941,7,7,34,1,0.005888149607926607,0.31098520678556146,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.InputSemantic:innerAssignments,0,1,0,0,0.0,1,2,12,1,0.6362071633338928,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.gui.JTreeTable:setRowHeight,2,2,0,1,0.2857142857142857,1,3,7,1,0.7084401249885559,0.7008255578851516,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheck:getAcceptableTokens,0,0,0,0,0.5,0,2,4,0,0.7882436513900757,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.IllegalImportCheck:setIllegalPkgs,1,0,0,1,0.75,0,1,4,0,0.98888099193573,0.5270462766947299,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheckTest:testScopeAnonInnerWithResolver,0,4,0,0,0.0,0,3,6,0,0.07905133068561554,0.0,0,0,0,0,0,0,0,0,0,0
2,com.mycompany.checks.MethodLimitCheck:setMax,0,0,0,1,0.75,0,2,4,0,0.9941632747650146,0.4338609156373123,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.PackageObjectFactory:PackageObjectFactory,0,0,0,0,0.6666666666666666,0,1,3,0,0.7437655925750732,0.4999999999999999,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.TreeWalker:process,6,2,0,1,0.2857142857142857,1,2,7,1,0.789939820766449,0.10050378152592121,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.PackageObjectFactoryTest:testMakeObectNoClass,0,4,0,0,0.0,0,3,9,0,0.14705662429332733,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:loadConfiguration,9,2,0,2,0.0,0,3,4,0,0.31136593222618103,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.WhitespaceAroundCheck:getDefaultTokens,2,0,0,0,0.5,0,2,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.LocalizedMessages:add,45,1,0,1,0.75,0,1,4,0,0.9726479649543762,0.3651483716701107,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.ConstantNameCheckTest:testDefault,0,3,0,0,0.0,0,3,5,0,0.03139066696166992,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.UnusedImportsCheck:finishTree,1,9,0,1,0.2,2,3,10,2,0.012940114364027977,0.0,0,0,0,0,0,0,0,0,1,0
2,com.puppycrawl.tools.checkstyle.checks.TodoCommentCheck:getDefaultTokens,2,0,0,0,0.5,0,2,4,0,0.6086944937705994,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.ParenPadCheck:processLeft,1,8,0,1,0.23076923076923078,3,4,13,3,0.0013382795732468367,0.1647843194633488,0,0,0,0,0,0,0,0,1,0
2,com.puppycrawl.tools.checkstyle.checks.FileLengthCheck:beginTree,1,2,0,1,0.2857142857142857,1,2,7,1,0.11210740357637405,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.PackageNameCheck:PackageNameCheck,0,0,0,0,0.5,0,1,4,0,0.9937468767166138,0.40824829046386296,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.MemberNameCheck:mustCheckName,1,4,0,1,0.3333333333333333,0,4,6,0,0.727459192276001,0.05913123959890826,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.FileLengthCheckTest:testAlarm,0,1,0,0,0.0,0,2,4,0,0.20260486006736755,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.PropertyCacheFile:PropertyCacheFile,0,9,0,2,0.10526315789473684,3,3,38,3,0.008528122678399086,0.5161163961971932,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.InputHiddenField:shadow,0,0,0,0,0.0,0,1,3,0,0.9070904850959778,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.gui.TreeTableModelAdapter:getColumnClass,3,1,0,1,0.0,0,2,3,0,0.6103476881980896,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.FileSetCheckLifecycleTest:testTranslation,0,5,0,0,0.0,0,3,6,0,0.12205212563276291,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.RedundantModifierCheck:getRequiredTokens,0,0,0,0,0.5,0,2,4,0,0.6568766832351685,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.InputPublicOnly:InputPublicOnly,0,0,0,1,0.0,0,1,2,0,0.920052170753479,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.gui.ParseTreeModel:getChild,1,2,0,2,0.0,1,3,10,1,0.22442284226417542,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.Scope:toString,30,0,0,0,0.5,0,2,4,0,0.9980736374855042,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.DetailAST:setFirstChild,2,0,0,1,0.6,0,1,5,0,0.9672116041183472,0.8081220356417685,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.TokenTypes:getTokenId,0,2,0,1,0.5,1,5,8,1,0.8986056447029114,0.816026113253443,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.ScopeUtils:inInterfaceBlock,9,2,0,1,0.3333333333333333,3,6,15,3,0.2904435694217682,0.0791807582464896,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.RedundantModifierTest:testIt,0,3,0,0,0.0,0,3,5,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.AuditEvent:getMessage,22,1,0,0,0.75,0,2,4,0,0.9495114684104919,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.TreeWalker:setCacheFile,0,1,0,1,0.4,0,1,5,0,0.9435517191886902,0.7167132003459626,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.CheckstyleException:getCause,0,0,0,0,0.5,0,2,4,0,0.9898229241371155,0.3651483716701107,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.JavadocMethodCheckTest:testScopeAnonInnerPrivate,0,5,0,0,0.0,0,3,6,0,0.03240319341421127,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.InnerAssignmentCheck:getDefaultTokens,2,0,0,0,0.5,0,2,4,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.gui.Main:main,0,5,0,1,0.0,0,1,7,0,0.05369140952825546,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.ParenPadCheckTest:testDefault,0,3,0,0,0.0,0,3,5,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0
2,com.puppycrawl.tools.checkstyle.checks.AbstractOption:decode,8,4,0,1,1.2,0,3,5,0,0.8691102266311646,0.4783648732349399,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.TreeWalker:registerCheck,1,3,0,2,0.4444444444444444,1,3,9,1,0.2810213565826416,0.6138339471675875,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.MethodLengthCheckTest:testIt,0,4,0,0,0.0,0,3,6,0,0.013701632618904114,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.BaseCheckTestCase:createChecker,8,7,0,1,0.0,0,3,10,0,0.14470021426677704,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.ClassResolver:safeLoad,2,1,0,1,1.5,0,5,4,0,0.34332066774368286,0.45291081365783836,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.checks.EmptyForIteratorPadCheck:getDefaultTokens,2,0,0,0,0.5,0,2,4,0,0.9543412327766418,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.api.Context:getAttributeNames,3,0,0,0,1.5,0,2,2,0,0.9985945224761963,0.3779644730092272,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.ConfigurationLoaderTest:testReplacePropertiesNoReplace,0,3,0,0,0.0,1,3,8,1,1.898455957416445E-4,0.0,0,0,0,0,0,0,0,0,0,0
2,com.puppycrawl.tools.checkstyle.XMLLogger:fileFinished,2,1,0,1,0.5,0,1,4,0,0.9620416164398193,0.18257418583505536,0,0,0,0,0,0,0,0,0,0
