ID,method,fanIN,fanOUT,localVar,parametersCount,commentToCodeRatio,countPath,complexity,execStmt,maxNesting,readability,cos,Purpose,Notice,UnderDev,StyleAndIde,Metadata,Discarded,featureEnvy,longParam,messageChains,longMethod,methodHistories,authors,stmtAdded,maxStmtAdded,avgStmtAdded,stmtDeleted,maxStmtDeleted,avgStmtDeleted,churn,maxChurn,avgChurn,decl,cond,elseAdded,elseDeleted,developers,ownership,entropy,buggy
9,com.puppycrawl.tools.checkstyle.utils.FilterUtilTest:testExistingFile,0,4,0,0,0.0,0,2,4,0,0.16705350577831268,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,org.checkstyle.suppressionxpathfilter.XpathRegressionLeftCurlyTest:testTwo,0,7,0,0,0.0,0,3,8,0,0.001567286904901266,0.0,0,0,0,0,0,0,0,0,0,0,4,3,10.0,9.0,2.5,0.0,0.0,0.0,10.0,9.0,2.5,0.0,0.0,0.0,0.0,0.5,0.2,0.0,true
9,com.sun.checkstyle.test.chapter6declarations.rule61numberperline.InputMultipleVariableDeclarations:method1,8,0,0,0,0.0,0,1,5,0,0.335273414850235,0.0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,true
9,com.sun.checkstyle.test.chapter6declarations.rule61numberperline.InputMultipleVariableDeclarations:method2,6,0,0,0,0.0,2,2,6,2,0.10270143300294876,0.0,0,0,0,0,0,0,0,0,0,0,1,1,6.0,6.0,6.0,0.0,0.0,0.0,6.0,6.0,6.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationFromGuava2:getEntry,0,0,0,1,0.0,0,2,3,0,0.1747603416442871,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.regexp.RegexpOnFilenameCheck:getFileName,34,2,0,1,0.5,1,3,8,1,0.6103484034538269,0.8461538461538461,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.gui.MainFrameModelTest:testOpenFileNullParameter2,0,8,0,0,0.0,0,2,7,0,0.0014145422028377652,0.0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:calculateScope,1,3,0,1,0.5,1,5,12,1,0.48132631182670593,0.650522925520963,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.filters.XpathFilterElementTest:testIncorrectQuery,0,4,0,0,0.0,0,2,10,0,0.0424412339925766,0.0,0,0,0,0,0,0,0,0,0,0,2,2,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,0.5,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.coding.PackageDeclarationCheckTest:testDefaultWithPackage,0,3,0,0,0.0,0,3,5,0,0.3585815727710724,0.0,0,0,0,0,0,0,0,0,0,0,1,1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,true
9,com.google.checkstyle.test.chapter5naming.rule528typevariablenames.ClassTypeParameterNameTest:testClassDefault,0,7,0,0,0.0,0,4,9,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,2,1,1.0,1.0,0.5,0.0,0.0,0.0,1.0,1.0,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.indentation.indentation.InputIndentationFromGuava2:clear,49,0,0,0,0.0,0,1,2,0,0.9122729897499084,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,com.puppycrawl.tools.checkstyle.utils.CommonUtilTest:testIsNameEmptyLastPart,0,2,0,0,0.0,0,2,3,0,0.09497328102588654,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.MainTest:testPrintFullTreeOption,0,0,0,0,0.0,0,2,2,0,0.9012669920921326,0.0,0,0,0,0,0,0,0,0,0,0,1,1,21.0,21.0,21.0,6.0,6.0,6.0,15.0,15.0,15.0,0.0,0.0,0.0,0.0,1.0,0.047619047619047616,0.07407407407407407,true
9,com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheckTest:testExpandedNoUnchecked,0,5,0,0,0.2857142857142857,0,4,7,0,0.0,0.3541441234874143,0,0,0,0,0,0,0,0,0,0,2,1,6.0,6.0,3.0,0.0,0.0,0.0,6.0,6.0,3.0,0.0,0.0,0.0,0.0,1.0,0.16666666666666666,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.modifier.classmemberimpliedmodifier.InputClassMemberImpliedModifierOnClass:methodPublic,0,0,0,0,0.0,0,1,2,0,0.6690250039100647,1.0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.blocks.LeftCurlyCheckTest:testNlow,0,6,0,0,0.0,0,3,6,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,com.puppycrawl.tools.checkstyle.api.AutomaticBeanTest:testConfigureNoSuchAttribute2,0,7,0,0,0.0,0,2,13,0,0.03577771410346031,0.0,0,0,0,0,0,0,0,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.coding.requirethis.InputRequireThisStatic:test2,0,1,0,0,0.0,0,2,7,0,0.4310494065284729,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.whitespace.ParenPadCheck:getRequiredTokens,303,0,0,0,0.0,0,2,3,0,0.8233358263969421,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.javadoc.MissingJavadocTypeCheckTest:testSkipAnnotationsDefault,0,5,0,0,0.0,0,3,6,0,0.1099473312497139,0.0,0,0,0,0,0,0,0,0,0,0,1,1,7.0,7.0,7.0,0.0,0.0,0.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,1.0,0.14285714285714285,0.0,true
9,com.puppycrawl.tools.checkstyle.internal.AllTestsTest:walk,3,2,0,2,0.0,0,3,5,0,0.01616567000746727,0.0,0,0,0,0,0,0,0,0,0,0,1,1,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.coding.FallThroughCheckTest:testTokensNotNull,0,4,0,0,0.0,0,1,6,0,0.0066304015927016735,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.DescendantTokenCheckTest:testMaximumDepth,0,4,0,0,0.0,0,3,9,0,0.0016457128804177046,0.0,0,0,0,0,0,0,0,0,0,0,1,1,4.0,4.0,4.0,0.0,0.0,0.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,1.0,0.25,0.0,true
9,com.puppycrawl.tools.checkstyle.TreeWalker:processIter,1,5,0,2,0.35714285714285715,2,5,14,2,0.0063459682278335094,0.4909704088672135,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,30.0,30.0,30.0,-29.0,-29.0,-29.0,0.0,0.0,0.0,0.0,1.0,1.0,0.06451612903225806,true
9,com.puppycrawl.tools.checkstyle.filters.XpathFilterElementTest:testNonMatchingModuleId,0,5,0,0,0.0,0,2,7,0,0.0,0.0,0,0,0,0,0,0,0,0,1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.coding.equalsavoidnull.InputEqualsAvoidNullNested:scanIdentifier,1,0,0,1,0.0,0,4,3,0,0.9244581460952759,0.0,0,0,0,0,0,0,0,0,0,0,1,1,3.0,3.0,3.0,0.0,0.0,0.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.metrics.BooleanExpressionComplexityCheckTest:testNullPointerException,0,3,0,0,0.0,0,3,5,0,0.419897198677063,0.0,0,0,0,0,0,0,0,0,0,0,1,1,2.0,2.0,2.0,0.0,0.0,0.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,true
9,com.puppycrawl.tools.checkstyle.checks.imports.unusedimports.InputUnusedImports:aMethodWithManyLinks,0,0,0,0,2.0,0,3,3,0,0.762475848197937,0.0,0,0,0,0,0,0,0,0,0,0,1,1,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,true
