test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
62,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_containsValue_0_basic.dot,1,1,Constant,1.,1.
63,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_convertType_0_basic.dot,3,3,Constant,3.,3.
64,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_createTypeTransformers_0_basic.dot,1,1,Constant,1.,1.
65,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_createWriteMethodArguments_0_basic.dot,9,9,Constant,9.,9.
66,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_entryIterator_0_basic.dot,1,1,Constant,1.,1.
67,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_entrySet_0_basic.dot,1,1,Constant,1.,1.
68,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_firePropertyChange_0_basic.dot,1,1,Constant,1.,1.
69,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_get_0_basic.dot,7,7,Constant,7.,7.
70,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getBean_0_basic.dot,1,1,Constant,1.,1.
71,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getReadMethod_0_basic.dot,1,1,Constant,1.,1.
72,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getType_0_basic.dot,1,1,Constant,1.,1.
73,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getTypeTransformer_0_basic.dot,1,1,Constant,1.,1.
74,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getWriteMethod_0_basic.dot,1,1,Constant,1.,1.
75,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_<init>_0_basic.dot,1,1,Constant,1.,1.
76,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_initialise_0_basic.dot,8,9,Exponential,9.86*1.32^n,2.75 + 0.03*0.87^n + 0.6*1.1^n + 0.93*1.1400000000000001^n + 9.86*1.32^n
77,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_keyIterator_0_basic.dot,1,1,Constant,1.,1.
78,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_keySet_0_basic.dot,1,1,Constant,1.,1.
79,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_logInfo_0_basic.dot,1,1,Constant,1.,1.
80,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_logWarn_0_basic.dot,1,1,Constant,1.,1.
81,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_put_0_basic.dot,7,7,Constant,7.,7.
82,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_putAllWriteable_0_basic.dot,3,3,Exponential,2.92*1.22^n,1. + 0.02*0.72^n + 0.45*1.06^n + 2.92*1.22^n
83,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_reinitialise_0_basic.dot,1,1,Constant,1.,1.
84,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_setBean_0_basic.dot,1,1,Constant,1.,1.
85,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_size_0_basic.dot,1,1,Constant,1.,1.
86,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_toString_0_basic.dot,1,1,Constant,1.,1.
87,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_valueIterator_0_basic.dot,1,1,Constant,1.,1.
88,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_values_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
89,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_<init>_0_basic.dot,1,1,Constant,1.,1.
90,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_iterator_0_basic.dot,1,1,Constant,1.,1.
91,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_size_0_basic.dot,1,1,Constant,1.,1.
92,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_hasNext_0_basic.dot,1,1,Constant,1.,1.
93,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_<init>_0_basic.dot,1,1,Constant,1.,1.
94,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_next_0_basic.dot,1,1,Constant,1.,1.
95,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_remove_0_basic.dot,1,1,Constant,1.,1.
96,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_hasNext_0_basic.dot,1,1,Constant,1.,1.
97,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_<init>_0_basic.dot,1,1,Constant,1.,1.
98,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_next_0_basic.dot,1,1,Constant,1.,1.
99,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_remove_0_basic.dot,1,1,Constant,1.,1.
100,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_clear_0_basic.dot,1,1,Constant,1.,1.
101,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_containsKey_0_basic.dot,1,1,Constant,1.,1.
102,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_containsValue_0_basic.dot,1,1,Constant,1.,1.
103,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_entrySet_0_basic.dot,1,1,Constant,1.,1.
104,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_get_0_basic.dot,1,1,Constant,1.,1.
105,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_<init>_0_basic.dot,1,1,Constant,1.,1.
106,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_isEmpty_0_basic.dot,1,1,Constant,1.,1.
107,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_keySet_0_basic.dot,1,1,Constant,1.,1.
108,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_put_0_basic.dot,1,1,Constant,1.,1.
109,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_putAll_0_basic.dot,1,1,Constant,1.,1.
110,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_remove_0_basic.dot,1,1,Constant,1.,1.
111,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_size_0_basic.dot,1,1,Constant,1.,1.
112,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$1_values_0_basic.dot,1,1,Constant,1.,1.
113,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$2_<init>_0_basic.dot,1,1,Constant,1.,1.
114,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$2_transform_0_basic.dot,1,1,Constant,1.,1.
115,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$3_<init>_0_basic.dot,1,1,Constant,1.,1.
116,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$3_transform_0_basic.dot,1,1,Constant,1.,1.
117,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$4_<init>_0_basic.dot,1,1,Constant,1.,1.
118,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$4_transform_0_basic.dot,1,1,Constant,1.,1.
119,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$5_<init>_0_basic.dot,1,1,Constant,1.,1.
120,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$5_transform_0_basic.dot,1,1,Constant,1.,1.
121,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$6_<init>_0_basic.dot,1,1,Constant,1.,1.
122,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$6_transform_0_basic.dot,1,1,Constant,1.,1.
123,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$7_<init>_0_basic.dot,1,1,Constant,1.,1.
124,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$7_transform_0_basic.dot,1,1,Constant,1.,1.
125,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$8_<init>_0_basic.dot,1,1,Constant,1.,1.
126,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$8_transform_0_basic.dot,1,1,Constant,1.,1.
127,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$9_<init>_0_basic.dot,1,1,Constant,1.,1.
128,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$9_transform_0_basic.dot,1,1,Constant,1.,1.
129,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$Entry_<init>_0_basic.dot,1,1,Constant,1.,1.
130,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$Entry_setValue_0_basic.dot,1,1,Constant,1.,1.
131,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_evaluate_0_basic.dot,5,5,Constant,5.,5.
132,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_getPredicate_0_basic.dot,1,1,Constant,1.,1.
133,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_getPropertyName_0_basic.dot,1,1,Constant,1.,1.
134,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_<init>_0_basic.dot,1,1,Constant,1.,1.
135,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_setPredicate_0_basic.dot,1,1,Constant,1.,1.
136,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPredicate_setPropertyName_0_basic.dot,1,1,Constant,1.,1.
137,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueChangeClosure_execute_0_basic.dot,10,10,Constant,10.,10.
138,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueChangeClosure_getPropertyName_0_basic.dot,1,1,Constant,1.,1.
139,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueChangeClosure_getPropertyValue_0_basic.dot,1,1,Constant,1.,1.
140,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueChangeClosure_<init>_0_basic.dot,3,3,Constant,3.,3.
141,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueChangeClosure_isIgnoreNull_0_basic.dot,1,1,Constant,1.,1.
142,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_evaluate_0_basic.dot,10,10,Constant,10.,10.
143,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_evaluateValue_0_basic.dot,4,4,Constant,4.,4.
144,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_getPropertyName_0_basic.dot,1,1,Constant,1.,1.
145,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_getPropertyValue_0_basic.dot,1,1,Constant,1.,1.
146,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_<init>_0_basic.dot,3,3,Constant,3.,3.
147,/home/fse/PathComplexity/cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanPropertyValueEqualsPredicate_isIgnoreNull_0_basic.dot,1,1,Constant,1.,1.
