test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
123,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_getLowestSetBit_0_basic.dot,4,4,Polynomial,0.5*n,4. + 0.5*n
124,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_getSecureRandom_0_basic.dot,2,2,Constant,2.,2.
125,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_hashCode_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
126,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_<init>_0_basic.dot,3,4,Constant,4.,4.
127,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_intArrayCmpToLen_0_basic.dot,4,4,Polynomial,0.75*n,5.3500000000000005 + 0.75*n
128,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_intLength_0_basic.dot,1,1,Constant,1.,1.
129,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_intValue_0_basic.dot,1,1,Constant,1.,1.
130,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_isProbablePrime_0_basic.dot,5,5,Constant,5.,5.
131,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_jacobiSymbol_0_basic.dot,18,1801,Exponential,45021.07*1.43^n,6. + 0.98*1.06^n + 337.69*1.28^n + 45021.07*1.43^n
132,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_javaIncrement_0_basic.dot,4,6,Polynomial,1.33*n,5.71 + 1.33*n
133,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_largePrime_0_basic.dot,4,3,Exponential,2.54*1.43^n,0.33 + 0.04*0.71^n + 0.62*1.18^n + 2.54*1.43^n
134,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_leftShift_0_basic.dot,5,5,Polynomial,1.*n,9. + 1.*n
135,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_longValue_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
136,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_lucasLehmerSequence_0_basic.dot,6,11,Exponential,10.36*1.3800000000000001^n,0.11 + 0.05*0.86^n + 0.81*1.1500000000000001^n + 1.94*1.25^n + 10.36*1.3800000000000001^n
137,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_magSerializedForm_0_basic.dot,4,6,Exponential,9.94*2.^(0.25*n),2. + 9.94*2.^(0.25*n)
138,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_makePositive_0_basic.dot,8,72,Polynomial,0.01*n^4.,150.18 + 54.18000000000001*n + 7.25*n^2. + 0.43*n^3. + 0.01*n^4.
139,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_max_0_basic.dot,2,2,Constant,2.,2.
140,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_min_0_basic.dot,2,2,Constant,2.,2.
141,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_mod_0_basic.dot,3,3,Constant,3.,3.
142,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_mod2_0_basic.dot,4,5,Polynomial,1.*n,5. + 1.*n
143,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_modInverse_0_basic.dot,6,8,Constant,8.,8.
144,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_modPow_0_basic.dot,20,682,Constant,682.,682.
145,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_modPow2_0_basic.dot,6,15,Exponential,25.23*1.43^n,1. + 0.04*0.71^n + 2.37*1.18^n + 25.23*1.43^n
146,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_montReduce_0_basic.dot,4,8,Polynomial,0.04*n^3.,5. + 3.08*n + 0.62*n^2. + 0.04*n^3.
147,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_mulAdd_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
148,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_multiply_0_basic.dot,11,99,Polynomial,2.*n^2.,275. + 46.*n + 2.*n^2.
149,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_multiplyByInt_0_basic.dot,4,5,Polynomial,1.*n,5. + 1.*n
150,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_multiplyToLen_0_basic.dot,6,18,Exponential,21.01*1.62^(0.5*n),3. + 0.1*0.62^(0.5*n) + 21.01*1.62^(0.5*n)
151,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_negate_0_basic.dot,1,1,Constant,1.,1.
152,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_nextProbablePrime_0_basic.dot,23,67,Exponential,65220.35*1.52^n,28.39 + 0.02*0.86^n + 0.02*0.87^n + 0.19*0.9400000000000001^n + 0.01*0.97^n + 0.17*1.03^n + 9.58*1.11^n + 65220.35*1.52^n + 1.*n
153,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_not_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
154,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_oddModPow_0_basic.dot,27,Timeout,Exponential,2.27131789293*^9*1.54^n,8.2716982883845205*^12 + 3.993824238*^7*0.8300000000000001^n + 98.49000000000001*0.87^n + 3763.2000000000003*0.93^n + 8.27165151085204*^12*1.03^n + 6.83*1.09^n + 6.37*1.1500000000000001^n + 1.34*1.16^n + 179.65*1.18^n + 1191.32*1.24^n + 193.78*1.25^n + 7.417488933*^7*1.29^n + 2.27131789293*^9*1.54^n + 2.6054379254837*^11*n + 4.10427986629*^9*n^2. + 4.304772737*^7*n^3. + 341148.9*n^4. + 2077.07*n^5. + 12.73*n^6. + 0.03*n^7.
155,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_or_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
156,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_parseInt_0_basic.dot,4,4,Polynomial,0.67*n,5.05 + 0.67*n
157,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_passesLucasLehmer_0_basic.dot,3,3,Exponential,4.18*2.^(0.25*n),1. + 4.18*2.^(0.25*n)
158,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_passesMillerRabin_0_basic.dot,11,62,Exponential,408.48*1.71^n,17.36 + 0.26*0.9500000000000001^n + 5.97*1.1500000000000001^n + 408.48*1.71^n + 1.6400000000000001*n
159,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_pow_0_basic.dot,9,18,Exponential,103.84*1.43^n,2. + 0.01*0.71^n + 4.51*1.18^n + 103.84*1.43^n
160,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_primeToCertainty_0_basic.dot,10,32,Constant,32.,32.
161,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_primitiveLeftShift_0_basic.dot,4,4,Polynomial,0.5*n,4. + 0.5*n
162,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_primitiveRightShift_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
163,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_probablePrime_0_basic.dot,3,3,Constant,3.,3.
164,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_randomBits_0_basic.dot,3,3,Constant,3.,3.
165,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_readObject_0_basic.dot,8,16,Constant,16.,16.
166,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_remainder_0_basic.dot,1,1,Constant,1.,1.
167,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_setBit_0_basic.dot,3,3,Polynomial,0.5*n,3. + 0.5*n
168,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_shiftLeft_0_basic.dot,5,6,Polynomial,1.5*n,13. + 1.5*n
169,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_shiftRight_0_basic.dot,18,203,Exponential,6791.71*2.^(0.2*n),755. + 69.89*1.1500000000000001^n + 6791.71*2.^(0.2*n) + 22.5*n
170,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_signBit_0_basic.dot,2,2,Constant,2.,2.
171,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_signInt_0_basic.dot,2,2,Constant,2.,2.
172,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_signum_0_basic.dot,1,1,Constant,1.,1.
173,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_smallPrime_0_basic.dot,18,16,Exponential,4168.99*1.55^n,0.29 + 0.01*0.9^n + 0.04*0.91^n + 0.1*0.93^n + 0.02*0.9400000000000001^n + 0.02*0.9500000000000001^n + 0.08*0.96^n + 0.09*1.04^n + 25.8*1.2^n + 4168.99*1.55^n
174,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_square_0_basic.dot,2,2,Constant,2.,2.
175,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_squareToLen_0_basic.dot,5,12,Polynomial,0.38*n^2.,9. + 3.75*n + 0.38*n^2.
176,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_stripLeadingZeroBytes_0_basic.dot,5,9,Exponential,9.56*1.62^(0.5*n),1.6600000000000001 + 0.07*0.62^(0.5*n) + 9.56*1.62^(0.5*n)
177,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_stripLeadingZeroInts_0_basic.dot,3,3,Polynomial,0.67*n,2.71 + 0.67*n
178,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_subN_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
179,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_subtract_0_basic.dot,7,32,Exponential,298.84000000000003*2.^(0.2*n),224.83 + 1.92*1.1500000000000001^n + 298.84000000000003*2.^(0.2*n) + 20.*n + 0.5*n^2.
180,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_testBit_0_basic.dot,3,3,Constant,3.,3.
181,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_toByteArray_0_basic.dot,3,3,Exponential,4.18*2.^(0.25*n),1. + 4.18*2.^(0.25*n)
182,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_toString_0_basic.dot,1,1,Constant,1.,1.
183,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_trustedStripLeadingZeroInts_0_basic.dot,4,6,Polynomial,1.33*n,6.77 + 1.33*n
184,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_valueOf_0_basic.dot,2,2,Constant,2.,2.
185,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_writeObject_0_basic.dot,1,1,Constant,1.,1.
186,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_BigInteger_xor_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
187,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_add_0_basic.dot,12,300,Exponential,2919.89*1.32^n,446.62 + 0.14*0.87^n + 2919.89*1.32^n + 41.67*n + 1.*n^2.
188,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_binaryGcd_0_basic.dot,6,8,Exponential,3.43*1.26^n,0. + 3.43*1.26^n + 12.93*2.^(0.33*n)
189,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_binaryGCD_0_basic.dot,14,960,Exponential,10487.16*1.28^n,64. + 0.11*0.97^n + 23.330000000000002*1.16^n + 625.24*1.23^n + 1396.26*1.27^n + 10487.16*1.28^n
190,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_clear_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
191,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_<clinit>_0_basic.dot,2,2,Constant,2.,2.
192,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_compare_0_basic.dot,6,6,Polynomial,0.75*n,8.85 + 0.75*n
193,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_compareHalf_0_basic.dot,11,17,Polynomial,2.67*n,49.77 + 2.67*n
194,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_copyAndShift_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
195,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_copyValue_0_basic.dot,2,2,Constant,2.,2.
196,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_difference_0_basic.dot,5,9,Polynomial,0.25*n^2.,10. + 3.*n + 0.25*n^2.
197,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divadd_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
198,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divaddLong_0_basic.dot,1,1,Constant,1.,1.
199,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divide_0_basic.dot,5,6,Constant,6.,6.
200,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divideLongMagnitude_0_basic.dot,15,720,Exponential,8763.67*1.42^n,0.37 + 0.07*0.9500000000000001^n + 0.05*1.03^n + 34.64*1.16^n + 12.61*1.18^n + 960.98*1.29^n + 8763.67*1.42^n
201,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divideMagnitude_0_basic.dot,30,Timeout,Exponential,2.24308162084*^9*1.42^n,1792.75 + 0.06*0.9500000000000001^n + 1.81*1.03^n + 3633.48*1.16^n + 3053.27*1.18^n + 8.20628036*^6*1.29^n + 2.24308162084*^9*1.42^n + 34.6*n
202,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divideOneWord_0_basic.dot,8,26,Exponential,91.87*2.^(0.25*n),6. + 91.87*2.^(0.25*n)
203,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_divWord_0_basic.dot,4,5,Polynomial,0.12*n^2.,4. + 1.25*n + 0.12*n^2.
204,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_ensureCapacity_0_basic.dot,2,2,Constant,2.,2.
205,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_euclidModInverse_0_basic.dot,7,10,Exponential,22.27*2.^(0.22*n),2. + 6.97*1.17^n + 22.27*2.^(0.22*n)
206,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_fixup_0_basic.dot,4,8,Polynomial,0.25*n^2.,6. + 2.5*n + 0.25*n^2.
207,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_getInt_0_basic.dot,1,1,Constant,1.,1.
208,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_getLong_0_basic.dot,1,1,Constant,1.,1.
209,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_getLowestSetBit_0_basic.dot,5,7,Polynomial,1.33*n,9.1 + 1.33*n
210,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_getMagnitudeArray_0_basic.dot,3,3,Constant,3.,3.
211,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_hybridGCD_0_basic.dot,3,3,Polynomial,0.67*n,3.38 + 0.67*n
212,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_<init>_0_basic.dot,1,1,Constant,1.,1.
213,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_inverseMod32_0_basic.dot,1,1,Constant,1.,1.
214,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_isEven_0_basic.dot,3,3,Constant,3.,3.
215,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_isNormal_0_basic.dot,4,4,Constant,4.,4.
216,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_isOdd_0_basic.dot,3,3,Constant,3.,3.
217,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_isOne_0_basic.dot,3,3,Constant,3.,3.
218,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_isZero_0_basic.dot,2,2,Constant,2.,2.
219,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_leftShift_0_basic.dot,12,50,Polynomial,0.75*n^2.,351. + 32.5*n + 0.75*n^2.
220,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_modInverse_0_basic.dot,7,22,Exponential,47.910000000000004*1.24^n,7.22 + 0.03*0.92^n + 1.18*1.1300000000000001^n + 6.78*1.22^n + 47.910000000000004*1.24^n + 0.33*n
221,/home/fse/PathComplexity/cfgs/java_cfgs/alt-rt/java_math_MutableBigInteger_modInverseBP2_0_basic.dot,1,1,Constant,1.,1.
