,graph_name,apc,cyclo,npath
123,com.puppycrawl.tools.checkstyle.checks.annotation.SuppressWarningsCheck:visitToken,"('1.4577**n', '0.132*1.1965**n + 0.1765*1.1989**n + 0.1102*1.4577**n + 2.4999')",9.0,15
124,com.puppycrawl.tools.checkstyle.checks.blocks.InputBracesSingleLineStatements:loopTest,"(n**7, '0.0001*n**7 + 0.001*n**6 + 0.0059*n**5 + 0.0201*n**4 + 0.0298*n**3 + 0.015*n**2 + 0.0178*n + 0.0027')",10.0,512
125,com.puppycrawl.tools.checkstyle.utils.CommonUtils:matchesFileExtension,"('1.2207**n', '136.5259*0.7245**n + 0.9695*1.0633**n + 7.0713*1.1892**n + 3.7364*1.2207**n + 6.4533')",7.0,11
126,com.puppycrawl.tools.checkstyle.checks.coding.UnnecessaryParenthesesCheck:visitToken,"(35.0000000000000, 35.0000000000000)",10.0,35
127,com.puppycrawl.tools.checkstyle.checks.coding.ExplicitInitializationCheck:visitToken,"(82.0000000000000, 82.0000000000000)",10.0,82
128,com.puppycrawl.tools.checkstyle.checks.whitespace.InputBraces:testFor,"('1.2207**n', '2.1438*0.7245**n + 0.0328*1.0633**n + 6.1266*1.2207**n + 0.0208*n**3 + 0.0625*n**2 + 1.9168*n + 7.9367')",6.0,24
129,com.puppycrawl.tools.checkstyle.checks.coding.FinalLocalVariableCheck:shouldRemoveFinalVariableCandidate,"(n, '0.3849*1.0**n + 3.3333*n + 28.6667')",8.0,11
130,com.puppycrawl.tools.checkstyle.checks.indentation.InputInvalidWhileIndent:method1,"(n**9, '0.0001*n**9 + 0.0007*n**8')",16.0,24576
131,com.puppycrawl.tools.checkstyle.checks.whitespace.MethodParamPadCheck:visitToken,"(20.0000000000000, 20.0000000000000)",9.0,20
132,com.puppycrawl.tools.checkstyle.checks.whitespace.NoWhitespaceAfterCheck:getArrayDeclaratorPreviousElement,"(9.00000000000000, 9.00000000000000)",9.0,9
133,com.puppycrawl.tools.checkstyle.checks.whitespace.WhitespaceAroundCheck:isPartOfDoubleBraceInitializerForPreviousToken,"(36.0000000000000, 36.0000000000000)",8.0,36
134,com.puppycrawl.tools.checkstyle.checks.coding.CovariantEqualsCheck:visitToken,"('1.3619**n', '0.1248*0.9474**n + 0.2185*1.1095**n + 0.058*1.2144**n + 0.3025*1.3619**n + 0.1667*n + 0.9445')",8.0,16
135,com.puppycrawl.tools.checkstyle.checks.javadoc.JavadocMethodCheck:getMethodTags,"('1.3559**n', '0.2145*0.9143**n + 0.1585*1.0726**n + 0.1913*1.0899**n + 0.2012*1.3559**n + 0.2')",7.0,7
136,com.puppycrawl.tools.checkstyle.checks.indentation.InputValidSwitchIndent:method1,"(64.0000000000000, 64.0000000000000)",10.0,64
