,file_name,graph_name,apc,cyclo,npath,apc_time,graph_size,basecasetype,exception,exception_type
20,/app/code/tests/cFiles/fse_2020_benchmark/23_mergesort.c,23_mergesort_cfg._Z9mergesortPii,"('1.5883**n', '-1.1695*0.7114**n - 1.0329*0.7302**n - 0.0101*0.9448**n - 1.0917*0.9659**n - 0.0594*1.1114**n - 0.0383*1.3027**n + 0.0626*1.5883**n + 0.9963')",10.0,171.0,3.6810295581817627,17.0,BFS,0.0,na
21,/app/code/tests/cFiles/fse_2020_benchmark/06_palindrome.c,06_palindrome_cfg._Z10palindromei,"(n, '1.0*n - 1.0')",3.0,3.0,0.037339210510253906,4.0,BFS,0.0,na
22,/app/code/tests/cFiles/fse_2020_benchmark/51_variance.c,51_variance_cfg._Z8variancePdi,"(n**3, '0.1667*n**3 - 3.0*n**2 + 19.8333*n - 47.0')",11.0,9.0,0.36149168014526367,15.0,BFS,0.0,na
23,/app/code/tests/cFiles/fse_2020_benchmark/32_newtons_method.c,32_newtons_method_cfg._Z11newton_rootffi,"(n, '1.0*n - 2.0')",4.0,4.0,0.0771486759185791,7.0,BFS,0.0,na
24,/app/code/tests/cFiles/fse_2020_benchmark/32_newtons_method.c,32_newtons_method_cfg._Z1ff,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.003467559814453125,3.0,BFS,0.0,na
25,/app/code/tests/cFiles/fse_2020_benchmark/32_newtons_method.c,32_newtons_method_cfg._Z2dff,"(1.00000000000000, 1.00000000000000)",1.0,1.0,0.003136157989501953,3.0,BFS,0.0,na
26,/app/code/tests/cFiles/fse_2020_benchmark/02_fib.c,02_fib_cfg._Z3fibi,"(n**2, '0.5*n**2 - 3.5*n + 9.0')",6.0,10.0,0.08163976669311523,8.0,BFS,0.0,na
27,/app/code/tests/cFiles/fse_2020_benchmark/31_sieve_of_eratosthenes.c,31_sieve_of_eratosthenes_cfg._Z5sievePii,"('1.5499**n', '0.7252*0.7687**n - 0.0904*1.0449**n + 0.3635*1.5499**n + 0.0007*n - 2.0053')",11.0,89.0,1.0481250286102295,15.0,BFS,0.0,na
28,/app/code/tests/cFiles/fse_2020_benchmark/19_longest_common_increasing_subsequence.c,19_longest_common_increasing_subsequence_cfg._Z4LCISPiiS_i,"('1.6372**n', '70.3419*0.8365**n + 66.8386*0.8578**n + 44.0951*0.8838**n + 0.171*1.1271**n + 0.0342*1.6372**n + 39.1033*n - 628.1209')",16.0,210.0,4.653303623199463,24.0,BFS,0.0,na
29,/app/code/tests/cFiles/fse_2020_benchmark/25_heapsort.c,25_heapsort_cfg._Z9heap_sortPij,na,na,na,0.0,26.0,BFS,1.0,tuple index out of range
