,graph,complexity
1477,cfg.c_isupper.dot,4
1478,cfg.dc_parse_file.dot,4
1479,cfg.process_regexp.dot,14
1480,cfg.str2sig.dot,-1
1481,cfg.unset_envvars.dot,3
1482,cfg.keep_new_line.dot,3
1483,cfg.strcoll_loop.dot,6
1484,cfg.bitset_merge.dot,2
1485,cfg.init_dfa.dot,37
1486,cfg.alloc_obuf.dot,3
1487,cfg.print_char.dot,6
1488,cfg.to_hour.dot,10
1489,cfg.rev_xstrcoll_ctime.dot,-1
1490,cfg.powm2.dot,5
1491,cfg.squeeze_filter.dot,16
1492,cfg.one_argument.dot,-1
1493,cfg.get_type_indicator.dot,23
1494,cfg.md5_finish_ctx.dot,2
1495,cfg.compare_nodes.dot,2
1496,cfg.exit_cleanup.dot,2
1497,cfg.unsigned_file_size.dot,-1
1498,cfg.fopen_safer.dot,9
1499,cfg.avoid_trashing_input.dot,13
1500,cfg.num_processors.dot,7
1501,cfg.match_ctx_add_entry.dot,7
1502,cfg.simple_round_to_zero.dot,-1
1503,cfg.is_equiv_class_member.dot,-1
1504,cfg.get_entry.dot,4
1505,cfg.remove_suffix.dot,6
1506,cfg.record_file.dot,4
1507,cfg.three_arguments.dot,6
1508,cfg.re_node_set_init_union.dot,16
1509,cfg.send_sig.dot,2
1510,cfg.cdb_free.dot,2
1511,cfg.lutimensat.dot,-1
1512,cfg.prjoin.dot,8
1513,cfg.xtime_make.dot,-1
1514,cfg.samedir_template.dot,3
1515,cfg.copy_to_temp.dot,8
1516,cfg.mfile_name_concat.dot,7
1517,cfg.cdb_advance_fd.dot,2
1518,cfg.gethrxtime.dot,3
1519,cfg.string_to_join_field.dot,5
1520,cfg.re_node_set_init_copy.dot,3
1521,cfg.filemodestring.dot,4
1522,cfg.print_factors.dot,5
1523,cfg.bsd_split_3.dot,12
1524,cfg.di_set_alloc.dot,3
1525,cfg.__xargmatch_internal.dot,2
1526,cfg.any_remote_file.dot,5
1527,cfg.parse_bracket_exp.dot,53
1528,cfg.process_line_count.dot,5
1529,cfg.gidtostr_ptr.dot,-1
1530,cfg.mem_cd_iconv.dot,24
1531,cfg.write_pending.dot,2
1532,cfg.quotearg_colon_mem.dot,-1
1533,cfg.max_out.dot,8
1534,cfg.hash_get_n_buckets_used.dot,-1
1535,cfg.eval2.dot,17
1536,cfg.set_uint32.dot,-1
1537,cfg.specify_nmerge.dot,4
1538,cfg.register_state.dot,9
1539,cfg.lines_split.dot,5
1540,cfg.i_ring_pop.dot,2
1541,cfg.eval3.dot,5
1542,cfg.is_linked_directory.dot,3
1543,cfg.time_string.dot,2
1544,cfg.print_page.dot,34
1545,cfg.copy_unescaped_string.dot,25
1546,cfg.set_stat_type.dot,8
1547,cfg.apply_relative_time.dot,4
1548,cfg.md5_process_bytes.dot,9
1549,cfg.put_line.dot,2
1550,cfg.add_line_number.dot,8
1551,cfg.parse_field_count.dot,7
1552,cfg.quit.dot,0
1553,cfg.randread_free.dot,2
1554,cfg.print_deadprocs.dot,2
1555,cfg.writeline.dot,10
1556,cfg.is_probably_sparse.dot,2
1557,cfg.balance.dot,3
1558,cfg.setexeccon.dot,-1
1559,cfg.matchpathcon_init_prefix.dot,-1
1560,cfg.gen_tempname_len.dot,3
1561,cfg.allocate_entry.dot,2
1562,cfg.apply_mode.dot,10
1563,cfg.statx_to_stat.dot,-1
1564,cfg.to_uchar.162.dot,-1
1565,cfg.rotr32.dot,-1
1566,cfg.looks_like_integer.dot,3
1567,cfg.parse_line.dot,14
1568,cfg.human_options.dot,2
1569,cfg.freadseek.dot,22
1570,cfg.re_string_destruct.dot,2
1571,cfg.extent_copy.dot,40
1572,cfg.isbase64url.dot,5
1573,cfg.set_process_security_ctx.dot,19
1574,cfg.expand.dot,13
1575,cfg.xgetgroups.dot,2
1576,cfg.input_size.dot,4
1577,cfg.parse_with_separator.dot,32
1578,cfg.copy_attr.dot,-1
1579,cfg.rpl_regfree.dot,2
1580,cfg.afalg_stream.dot,-1
1581,cfg.isaac_refill.dot,3
1582,cfg.randperm_bound.dot,-1
1583,cfg.pipe_fork.dot,9
1584,cfg.current_timespec.dot,-1
1585,cfg.memcpy_lowcase.dot,2
1586,cfg.print_factors_single.dot,4
1587,cfg.string_hasher_ci.dot,4
1588,cfg.cut_fields.dot,39
1589,cfg.xstrcoll_name.dot,-1
1590,cfg.prompt.dot,30
1591,cfg.getenv_TZ.dot,-1
1592,cfg._obstack_free.dot,5
1593,cfg.test_syntax_error.dot,0
1594,cfg.base64url_decode_ctx_wrapper.dot,6
1595,cfg.head_lines.dot,12
1596,cfg.write_random_lines.dot,5
1597,cfg.timespectod.dot,-1
1598,cfg.ptr_align.dot,-1
1599,cfg.dbg_printf.dot,-1
1600,cfg.md5_init_ctx.dot,-1
1601,cfg.find_line.dot,8
1602,cfg.check_inputs.dot,3
1603,cfg.check_x_suffix.dot,-1
1604,cfg.parse_human_number.dot,6
1605,cfg.add_fs_type.dot,-1
1606,cfg.unary_advance.dot,-1
1607,cfg.need_copy.dot,30
1608,cfg.src_to_dest_hash.dot,-1
1609,cfg.base64_decode_alloc_ctx.dot,4
1610,cfg.xmem_cd_iconv.dot,2
1611,cfg.parse_bracket_element.dot,9
1612,cfg.mpz_sgn.dot,2
1613,cfg.add_tab_stop.dot,5
1614,cfg.dev_ino_free.dot,-1
1615,cfg.get_subexp_sub.dot,3
1616,cfg.equal_tm.dot,-1
1617,cfg.time_zone_str.dot,3
1618,cfg.argmatch.dot,8
1619,cfg.print_float.dot,4
1620,cfg.scan_varname.dot,9
1621,cfg.emit_blocksize_note.dot,-1
1622,cfg.base_cost.dot,9
1623,cfg.free_permission_context.dot,-1
1624,cfg.posixtest.dot,9
1625,cfg.savewd_save.dot,13
1626,cfg.new_line_control.dot,-1
1627,cfg.getfileconat.dot,19
1628,cfg.base64_encode.dot,16
1629,cfg.debug_strftime.dot,-1
1630,cfg.re_string_fetch_byte_case.dot,6
1631,cfg.print_uintmaxes.dot,6
1632,cfg.validate_split_str.dot,21
1633,cfg.file_name_prepend.dot,2
1634,cfg.print_stuff.dot,10
1635,cfg.write_line.dot,6
1636,cfg.sift_states_iter_mb.dot,5
1637,cfg.set_ordering.dot,18
1638,cfg.print_filename.dot,5
1639,cfg.quote_name.dot,18
1640,cfg.pad_across_to.dot,3
1641,cfg.strcmp_df_atime.dot,6
1642,cfg.file_pattern_matches.dot,3
1643,cfg.put_paragraph.dot,2
1644,cfg.fd_safer_flag.dot,3
1645,cfg.print_horizontal.dot,3
1646,cfg._obstack_newchunk.dot,7
1647,cfg.valid_file_spec.dot,-1
1648,cfg.initialize_ordering_vector.dot,2
1649,cfg.close_fd.dot,4
1650,cfg.limfield.dot,21
1651,cfg.critical_factorization.dot,11
1652,cfg.is_nul.dot,8
1653,cfg.setfilecon.dot,-1
1654,cfg.get_next_tab_column.dot,7
1655,cfg.fnmatch_no_wildcards.dot,9
1656,cfg.close_stdin.dot,7
1657,cfg.idle_string.dot,4
1658,cfg.print_stored.dot,12
1659,cfg.c_toupper.dot,4
1660,cfg.excluded_file_name.dot,7
1661,cfg.force_linkat.dot,9
1662,cfg.xstrndup.dot,1
1663,cfg.basename_is_dot_or_dotdot.dot,-1
1664,cfg.rev_strcmp_ctime.dot,-1
1665,cfg.dorewind.dot,5
1666,cfg.match_ctx_free.dot,-1
1667,cfg.fmt_paragraph.dot,8
1668,cfg.initbuffer.dot,-1
1669,cfg.fts_sort.dot,8
1670,cfg.file_type.dot,11
1671,cfg.copy_dir.dot,6
1672,cfg.peek_token_bracket.dot,17
1673,cfg.neg_to_zero.dot,2
1674,cfg.is_zero_or_power_of_two.dot,-1
1675,cfg.re_copy_regs.dot,11
1676,cfg.fts_maxarglen.dot,3
1677,cfg.mode_type_flag.dot,5
1678,cfg.rpl_fclose.dot,6
1679,cfg.cwd_advance_fd.dot,6
1680,cfg.realpath_canon.dot,3
1681,cfg.who.dot,2
1682,cfg.get_next.dot,22
1683,cfg.readtokens0.dot,12
1684,cfg.out_uint_x.dot,-1
1685,cfg.factor_insert_multiplicity.dot,6
1686,cfg.yylex.dot,312
1687,cfg.get_dev.dot,-499
1688,cfg.out_uint_o.dot,-1
1689,cfg.parse_ls_color.dot,24
1690,cfg.create_temp_file.dot,5
1691,cfg.rpl_fcntl_DUPFD_CLOEXEC.dot,9
1692,cfg.smack_set_label_for_self.dot,-1
1693,cfg.finish_up.dot,-1
1694,cfg.base2_length.dot,-1
1695,cfg.xsum4.dot,-1
1696,cfg.uid_unset.dot,-1
1697,cfg.protect_fd.dot,3
1698,cfg.extract_trimmed_name.dot,3
1699,cfg.set_initialize.dot,4
1700,cfg.check_dst_limits_calc_pos_1.dot,24
1701,cfg.md5_buffer.dot,-1
1702,cfg.bkm_scale.178.dot,2
1703,cfg.check_order.dot,7
1704,cfg.knuth_morris_pratt.dot,11
1705,cfg.link_nfa_nodes.dot,12
1706,cfg.tail_forever.dot,39
1707,cfg.no_leading_hyphen.dot,4
1708,cfg.human_fstype.dot,128
1709,cfg.parse_dup_op.dot,34
1710,cfg.proctab_hasher.dot,-1
1711,cfg.usage.dot,1
1712,cfg.compare_words.dot,8
1713,cfg.free_tree.dot,-1
1714,cfg.bkm_scale_by_power.181.dot,2
1715,cfg.calc_eclosure.dot,9
1716,cfg.print_files.dot,6
1717,cfg.rpl_strstr.dot,9
1718,cfg.factor_using_pollard_rho.dot,15
1719,cfg.print_runlevel.dot,5
1720,cfg.is_range_start_index.dot,-1
1721,cfg.savewd_errno.dot,2
1722,cfg.compile_regex.dot,1
1723,cfg.dev_type_compare.dot,-1
1724,cfg.process_field.dot,4
1725,cfg.mergefps.dot,33
1726,cfg.stat_time_normalize.dot,-1
1727,cfg.timespec_sign.dot,3
1728,cfg.create_new_buffer.dot,-1
1729,cfg.src_to_dest_compare.dot,2
1730,cfg.select_plural.dot,2
1731,cfg.sha256_read_ctx.dot,2
1732,cfg.careadlinkatcwd.dot,1
1733,cfg.hash_get_first.dot,3
1734,cfg.bkm_scale.230.dot,2
1735,cfg.open_safer.dot,3
1736,cfg.xstrcoll_df_extension.dot,6
1737,cfg.key_init.dot,-1
1738,cfg.context_type_get.dot,-1
1739,cfg.sync_arg.dot,13
1740,cfg.operand_is.dot,-1
1741,cfg.list_signal_handling.dot,7
1742,cfg.dump_remainder.dot,9
1743,cfg.check_fspec.dot,11
1744,cfg.bkm_scale.218.dot,3
1745,cfg.context_range_get.dot,-1
1746,cfg.readtoken.dot,9
1747,cfg.mgetgroups.dot,24
1748,cfg.rev_xstrcoll_df_size.dot,6
1749,cfg.fremote.dot,5
1750,cfg.known.dot,-1
1751,cfg.valid_options.dot,7
1752,cfg.hash_string.dot,2
1753,cfg.simple_new.dot,-1
1754,cfg.xwrite_stdout.dot,2
1755,cfg.write_to_file.dot,3
1756,cfg.xalloc_die.dot,0
1757,cfg.calc_req_mask.dot,12
1758,cfg.re_node_set_compare.dot,6
1759,cfg.mpz_mul.dot,4
1760,cfg.compare.dot,12
1761,cfg.cycle_warning_required.dot,5
1762,cfg.format_user_or_group_width.dot,3
1763,cfg.rpl_mbrlen.dot,2
1764,cfg.readdir_ignoring_dot_and_dotdot.dot,4
1765,cfg.mbiter_multi_next.dot,8
1766,cfg.emit_verbose.dot,2
1767,cfg.default_scale_base.dot,5
1768,cfg.alloc_field.dot,2
1769,cfg.read_binary_file.dot,-1
1770,cfg.wd_comparator.dot,-1
1771,cfg.path_prefix.dot,9
1772,cfg.write_unique.dot,4
1773,cfg.randread_error.dot,1
1774,cfg.rpl_re_search.dot,-1
1775,cfg.bkm_scale.152.dot,2
1776,cfg.string_hasher.dot,-1
1777,cfg.add_file_name.dot,7
1778,cfg.base32hex_decode_ctx_init_wrapper.dot,-1
1779,cfg.gcd_odd.dot,6
1780,cfg.rev_xstrcoll_df_extension.dot,6
1781,cfg.re_search_stub.dot,23
1782,cfg.writable_destination.dot,3
1783,cfg.lbuf_flush.dot,1
1784,cfg.print_LDBL.dot,-1
1785,cfg.seen_file.dot,2
1786,cfg.statx_timestamp_to_timespec.dot,-1
1787,cfg.field_sep.dot,2
1788,cfg.print_kth.dot,-1
1789,cfg.read_block.dot,5
1790,cfg.rotl32.dot,-1
1791,cfg.base32_decode_ctx_wrapper.dot,-1
1792,cfg.elide_tail_bytes_file.dot,9
1793,cfg.inittables.dot,7
1794,cfg.parse_patterns.dot,7
1795,cfg._obstack_begin_1.dot,-1
1796,cfg.print_only_size.dot,2
1797,cfg.bkm_scale.350.dot,2
1798,cfg.hash_free.dot,9
1799,cfg.file_escape_init.dot,6
1800,cfg.get_stat_mtime.dot,-1
1801,cfg.sha512_process_block.dot,3
1802,cfg.sha224_stream.dot,-1
1803,cfg.incr.dot,4
1804,cfg.qcopy_acl.dot,2
1805,cfg.baud_to_value.dot,4
1806,cfg.get_win_size.dot,-1
1807,cfg.blake2b_is_lastblock.dot,-1
1808,cfg.numcompare.309.dot,56
1809,cfg.specify_nthreads.dot,3
1810,cfg.hash_find_entry.dot,10
1811,cfg.read_input_reservoir_sampling.dot,10
1812,cfg.initialize_regex.dot,12
1813,cfg.rev_xstrcoll_atime.dot,-1
1814,cfg.new_exclude.dot,-1
1815,cfg.print_esc_string.dot,3
1816,cfg.base16_decode_ctx.dot,10
1817,cfg.hash_print_statistics.dot,-1
1818,cfg.parse_gnu_standard_options_only.dot,3
1819,cfg.count_items.dot,-1
1820,cfg.get_disk.dot,21
1821,cfg.mpsort_into_tmp.dot,4
1822,cfg.xvprintf.dot,3
1823,cfg.hash_delete.dot,8
1824,cfg.duinfo_init.dot,-1
1825,cfg.has_capability_cache.dot,4
1826,cfg.getuidbyname.dot,8
1827,cfg.emit_bug_reporting_address.dot,-1
1828,cfg.get_stat_ctime_ns.dot,-1
1829,cfg.userid_compare.dot,-1
1830,cfg.transit_state_mb.dot,22
1831,cfg.read_file.dot,-1
1832,cfg.rpl_fts_open.dot,37
1833,cfg.incompatible_options.dot,0
1834,cfg.apply_suffix.dot,6
1835,cfg.close_stdout_set_file_name.dot,-1
1836,cfg.nth_parent.dot,2
1837,cfg.rpl_mknod.dot,3
1838,cfg.prfield.dot,5
1839,cfg.fwrite_success_callback.dot,-1
1840,cfg.chmod_or_fchmod.dot,2
1841,cfg.lsetfilecon.dot,-1
1842,cfg.calc_eclosure_iter.dot,18
1843,cfg.sha512_finish_ctx.dot,-1
1844,cfg.rpl_fcntl.dot,-53
1845,cfg.check_file.dot,42
1846,cfg.qset_acl.dot,-1
1847,cfg.base2lsbf_decode_ctx.dot,7
1848,cfg.emit_tab_list_info.dot,-1
1849,cfg.fdadvise.dot,-1
1850,cfg.can_write_any_file.dot,2
1851,cfg.print_double.dot,4
1852,cfg.try_link.dot,-1
1853,cfg.set_control_char.dot,10
1854,cfg.skip.dot,18
1855,cfg.chownat.dot,-1
1856,cfg.strcmp_mtime.dot,-1
1857,cfg.mbsnwidth.dot,110
1858,cfg.errnoize.dot,2
1859,cfg.store64.dot,-1
1860,cfg.knuth_morris_pratt_multibyte.dot,25
1861,cfg.get_line.dot,5
1862,cfg.src_info_init.dot,-1
1863,cfg.start_bytes.dot,8
1864,cfg.xstrcoll_mtime.dot,-1
1865,cfg.map_device.dot,6
1866,cfg.overwrite_ok.dot,4
1867,cfg.hash_pjw.dot,2
1868,cfg.xtime_sec.dot,-1
1869,cfg.restore_initial_cwd.dot,5
1870,cfg.sparse_copy.dot,30
1871,cfg.sortlines.dot,6
1872,cfg.sparse_free.dot,-1
1873,cfg.get_subexp.dot,40
1874,cfg.blake2b_compress.dot,4
1875,cfg.save_to_hold_area.dot,-1
1876,cfg.cut_bytes.dot,9
1877,cfg.format_code_offset.dot,2
1878,cfg.save_abbr.dot,15
1879,cfg.re_acquire_state_context.dot,8
1880,cfg.offtostr.dot,4
1881,cfg.quote.dot,-1
1882,cfg.wrapf.dot,3
1883,cfg.restorecon.dot,-1
1884,cfg.fgetfilecon.dot,-1
1885,cfg.rpl_pipe2.dot,21
1886,cfg.save_line_to_file.dot,1
1887,cfg.AD_hash.dot,-1
1888,cfg.copy_rest.dot,12
1889,cfg.bkm_scale_by_power.179.dot,2
1890,cfg.getfilecon_cache.dot,5
1891,cfg.rpl_fcntl_DUPFD.dot,-1
1892,cfg.is_basic.dot,-1
1893,cfg.prfields.dot,6
1894,cfg.mpsort.dot,-1
1895,cfg.known_value.dot,-1
1896,cfg.toarith.dot,3
1897,cfg.card_of_complement.dot,2
1898,cfg.get_stat_birthtime.dot,-1
1899,cfg.triple_compare_ino_str.dot,3
1900,cfg.replace_invalid_chars.dot,4
1901,cfg.binvert.dot,3
1902,cfg.append_range.dot,2
1903,cfg.head_file.dot,5
1904,cfg.xstrcoll_extension.dot,-1
1905,cfg.utimecmp.dot,-1
1906,cfg.c_islower.dot,4
1907,cfg.temp_stream.dot,9
1908,cfg.quoting_options_from_style.dot,1
1909,cfg.bsd_sum_file.dot,9
1910,cfg.rev_strcmp_extension.dot,-1
1911,cfg.AD_compare.dot,2
1912,cfg.bkm_scale.180.dot,2
1913,cfg.excluded_fstype.dot,5
1914,cfg.context_new.dot,-1
1915,cfg.transfer_entries.dot,11
1916,cfg.restricted_chown.dot,17
1917,cfg.mbiter_multi_copy.dot,2
1918,cfg.prepare_padded_number.dot,13
1919,cfg.absld.dot,2
1920,cfg.canon_host_r.dot,6
1921,cfg.sysv_sum_file.dot,12
1922,cfg.initialize_signals.dot,2
1923,cfg.read_and_delete.dot,8
1924,cfg.do_copy.dot,22
1925,cfg.md5_read_ctx.dot,-1
1926,cfg.security_check_context.dot,-1
1927,cfg.gcd.dot,2
1928,cfg.heap_remove_top.dot,2
1929,cfg.xsum3.dot,-1
1930,cfg.z85_decode_ctx_init.dot,-1
1931,cfg.suffix_power_char.dot,10
1932,cfg.re_acquire_state.dot,8
1933,cfg.print_spaces.dot,2
1934,cfg.cut_stream.dot,2
1935,cfg.proper_name.dot,3
1936,cfg.bkm_scale.397.dot,2
1937,cfg.parse_str.dot,2
1938,cfg.i_ring_init.dot,2
1939,cfg.tm_year_str.dot,-1
1940,cfg.print_direc.dot,44
1941,cfg.put_indicator.dot,3
1942,cfg.batch_convert.dot,6
1943,cfg.xputchar.dot,1
1944,cfg.init_word_char.dot,9
1945,cfg.fd_ring_clear.dot,3
1946,cfg.get_all_entries.dot,2
1947,cfg.xnmalloc.dot,1
1948,cfg.get_spec_stats.dot,14
1949,cfg.wipename.dot,18
1950,cfg.free_state.dot,2
1951,cfg.ino_map_insert.dot,6
1952,cfg.alloc_ibuf.dot,2
1953,cfg.parse_byte.dot,2
1954,cfg.format_inode.dot,3
1955,cfg.find_closing_delim.dot,7
1956,cfg.count_consecutive_X_s.dot,3
1957,cfg.append_char_class.dot,2
1958,cfg.filename_unescape.dot,9
1959,cfg.reset_status.dot,5
1960,cfg.powm.dot,4
1961,cfg.me_for_dev.dot,2
1962,cfg.compare_random.dot,26
1963,cfg.defaultcon.dot,-1
1964,cfg.parse_expression.dot,67
1965,cfg.update_cur_sifted_state.dot,11
1966,cfg.simple_strtod_fatal.dot,8
1967,cfg.c_isalnum.dot,4
1968,cfg.string_compare.dot,-1
1969,cfg.create_fullname.dot,7
1970,cfg.guess_shell_syntax.dot,5
1971,cfg.find_bracketed_repeat.dot,11
1972,cfg.fwrite_lowcase.dot,2
1973,cfg.quotearg.dot,-1
1974,cfg.rpl_regexec.dot,4
1975,cfg.extend_buffers.dot,14
1976,cfg.dup_safer.dot,-1
1977,cfg.default_sort_size.dot,11
1978,cfg.base_name.dot,3
1979,cfg.trim2.dot,32
1980,cfg.rpl_fseeko.dot,5
1981,cfg.hextobin.dot,12
1982,cfg.print_field.dot,31
1983,cfg.heap_insert.dot,2
1984,cfg.fraccompare.dot,13
1985,cfg.beyond.dot,0
1986,cfg.path_common_prefix.dot,12
1987,cfg.find_backup_file_name.dot,1
1988,cfg.add_uint_with_neg_flag.dot,6
1989,cfg.free_fail_stack_return.dot,3
1990,cfg.leaf_optimization.dot,8
1991,cfg.add_excluded_fs_type.dot,-1
1992,cfg.free_entry.dot,-1
1993,cfg.proceed_next_node.dot,36
1994,cfg.parse_integer.dot,9
1995,cfg.__gl_setmode.dot,-1
1996,cfg.duinfo_set.dot,-1
1997,cfg.output_one_dumb_line.dot,21
1998,cfg.clone_file.dot,-1
1999,cfg.setlocale_null_r.dot,-1
2000,cfg.and.dot,3
2001,cfg.stophandler.dot,2
2002,cfg.base16_decode_ctx_init.dot,-1
2003,cfg.memcmp2.dot,5
2004,cfg.process_files.dot,5
2005,cfg.next_line_num.dot,6
2006,cfg.restore_default_fscreatecon_or_die.dot,1
2007,cfg.stzncpy.dot,3
2008,cfg.open_temp.dot,5
2009,cfg.get_s2_spec_stats.dot,3
2010,cfg.do_stat.dot,-1
2011,cfg.yesno.dot,4
2012,cfg.str_value.dot,-1
2013,cfg.isbase32hex.dot,4
2014,cfg.create.dot,12
2015,cfg.merge.dot,16
2016,cfg.xvasprintf.dot,6
2017,cfg.process_prime.dot,-1
2018,cfg.mkancesdirs.dot,19
2019,cfg.create_output_file.dot,2
2020,cfg.change_attributes.dot,6
2021,cfg.isdst_differ.dot,3
2022,cfg.debug_print_relative_time.dot,10
2023,cfg.dot_or_dotdot.dot,3
2024,cfg.build_charclass_op.dot,13
2025,cfg.unescape_tab.dot,10
2026,cfg.context_user_set.dot,-1
2027,cfg.dd_copy.dot,76
2028,cfg.setup_padding_buffer.dot,2
2029,cfg.rev_xstrcoll_version.dot,-1
2030,cfg.cmp_extension.dot,4
2031,cfg.relpath.dot,10
2032,cfg.openat_proc_name.dot,8
2033,cfg.check_extension.dot,8
2034,cfg.dump_rest_of_file.dot,2
2035,cfg.insertkey.dot,2
2036,cfg.blake2b_update.dot,4
2037,cfg.do_statx.dot,4
2038,cfg.setlocale_null.dot,-1
2039,cfg.xstrtol.dot,-236
2040,cfg.openat_safer.dot,3
2041,cfg.blake2b_final.dot,5
2042,cfg.ignorable.dot,2
2043,cfg.context_role_set.dot,-1
2044,cfg.set_custom_quoting.dot,3
2045,cfg.write_permuted_output_reservoir.dot,5
2046,cfg.sha1_buffer.dot,-1
2047,cfg.find_occurs_in_text.dot,45
2048,cfg.xstrcoll_df_atime.dot,6
2049,cfg.different.dot,6
2050,cfg.heap_default_compare.dot,-1
2051,cfg.exit_failure_callback.dot,2
2052,cfg.sift_states_bkref.dot,26
2053,cfg.year.dot,8
2054,cfg.uinttostr.dot,4
2055,cfg.paste_serial.dot,14
2056,cfg.argmatch_valid.dot,4
2057,cfg.set_program_path.dot,7
2058,cfg.set_owner.dot,20
2059,cfg.mode_compile.dot,-211
2060,cfg.iso_week_days.384.dot,-1
2061,cfg.calc_inveclosure.dot,6
2062,cfg.print_full_info.dot,18
2063,cfg.set_normal_color.dot,3
2064,cfg.rev_strcmp_btime.dot,-1
2065,cfg.just.dot,-1
2066,cfg.delete_all_files.dot,5
2067,cfg.align_nstrftime.dot,2
2068,cfg.clear_random_data.dot,-1
2069,cfg.version_etc.dot,-1
2070,cfg.users.dot,1
2071,cfg.xcalloc.dot,2
2072,cfg.bitset_not.dot,2
2073,cfg.chopt_init.dot,-1
2074,cfg.print_short.dot,4
2075,cfg.sha512_process_bytes.dot,9
2076,cfg.blake2b_set_lastblock.dot,2
2077,cfg.physmem_total.dot,7
2078,cfg.swab_buffer.dot,4
2079,cfg.copy_internal.dot,264
2080,cfg.simple_cat.dot,3
2081,cfg.chdir_long.dot,18
2082,cfg.quotearg_custom_mem.dot,-1
2083,cfg.ambsalign.dot,5
2084,cfg.xrealloc.dot,4
2085,cfg.merge_tree_init.dot,-1
2086,cfg.xmemcoll0.dot,2
2087,cfg.hash_insert_if_absent.dot,11
2088,cfg.c_isalpha.dot,4
2089,cfg.build_charclass.dot,79
2090,cfg.sub_epsilon_src_nodes.dot,16
2091,cfg.cmp_atime.dot,2
2092,cfg.process_line.dot,6
2093,cfg.dir_len.dot,4
2094,cfg.extent_scan_free.dot,-1
2095,cfg.write_zeros.dot,7
2096,cfg.init_tokenbuffer.dot,-1
2097,cfg.shift_left.dot,-1
2098,cfg.init_inbuf.dot,-1
2099,cfg.sha256_finish_ctx.dot,-1
2100,cfg.calc_first.dot,4
2101,cfg.bkm_scale_by_power.231.dot,2
2102,cfg.c_isblank.dot,2
2103,cfg.input_file_size.dot,15
2104,cfg.bkm_scale_by_power.219.dot,2
2105,cfg.__strftime_internal.378.dot,-1728
2106,cfg.fstat_for_ino.dot,-1
2107,cfg.xfopen.dot,1
2108,cfg.signal_init.dot,-1
2109,cfg.tzalloc.dot,5
2110,cfg.blake2b_init_key.dot,7
2111,cfg.yyparse.dot,1056
2112,cfg.print_int.dot,4
2113,cfg.raw_hasher.dot,-1
2114,cfg.check_format_conv_type.dot,6
2115,cfg.print_boottime.dot,-1
2116,cfg.c_locale.dot,2
2117,cfg.tee_files.dot,21
2118,cfg.postorder.dot,9
2119,cfg.emit_size_note.dot,-1
2120,cfg.strintcmp.dot,-1
2121,cfg.imaxtostr.dot,4
2122,cfg.free_buffer.dot,2
2123,cfg.freadptrinc.dot,-1
2124,cfg.genpattern.dot,14
2125,cfg.fts_alloc.dot,2
2126,cfg.factor.dot,7
2127,cfg.base2msbf_decode_ctx.dot,8
2128,cfg.next_item.dot,2
2129,cfg.mpz_init_set_str.dot,-1
2130,cfg.lines_chunk_split.dot,32
2131,cfg.init_funcs.dot,13
2132,cfg.print_table_row.dot,2
2133,cfg.bkm_scale_by_power.153.dot,2
2134,cfg.vstrtoumax.dot,6
2135,cfg.canon_host.dot,-1
2136,cfg.term.dot,18
2137,cfg.do_statfs.dot,3
2138,cfg.mode_create_from_ref.dot,2
2139,cfg.print_long_format.dot,45
2140,cfg.internal_read_file.dot,4
2141,cfg.copy_simple.dot,4
2142,cfg.rpl_regcomp.dot,5
2143,cfg.fileno_to_name.dot,4
2144,cfg.unit_to_umax.dot,8
2145,cfg.mkstemp_safer.dot,-1
2146,cfg.line_cost.dot,3
2147,cfg.cs_enter.dot,-1
2148,cfg.init_header.dot,8
2149,cfg.bkm_scale_by_power.351.dot,2
2150,cfg.advance_input_after_read_error.dot,13
2151,cfg.parse_branch.dot,15
2152,cfg.re_node_set_remove_at.dot,4
2153,cfg.plain_read.dot,1
2154,cfg.find_non_slash.dot,-1
