,graph,complexity
514,cfg.digits_to_date_time.dot,8
515,cfg.initbuf.dot,2
516,cfg.xset_binary_mode.dot,2
517,cfg.initialize_exit_failure.dot,2
518,cfg.mbiter_multi_reloc.dot,-1
519,cfg.punch_hole.dot,4
520,cfg.priv_set_restore_linkdir.dot,-1
521,cfg.mpz_out_str.dot,-1
522,cfg.fdutimens.dot,43
523,cfg.rev_strcmp_df_extension.dot,6
524,cfg.getgroup.dot,6
525,cfg.forget_all.dot,-1
526,cfg.get_nonce.dot,14
527,cfg.utimens_symlink.dot,3
528,cfg.sparse_hash_.dot,-1
529,cfg.trim_leading_zeros.dot,4
530,cfg.update_regs.dot,8
531,cfg.file_has_acl.dot,-1
532,cfg.check_output.dot,2
533,cfg.to_uchar.dot,-1
534,cfg.lbuf_putint.dot,2
535,cfg.fmt.dot,2
536,cfg.cdb_fchdir.dot,-1
537,cfg.sha512_init_ctx.dot,-1
538,cfg.parse_reg_exp.dot,13
539,cfg.quotearg_alloc_mem.dot,3
540,cfg.reap_exited.dot,3
541,cfg.cp_options_default.dot,-1
542,cfg.extract_dirs_from_files.dot,11
543,cfg.freeline.dot,2
544,cfg.xstrcoll_size.dot,-1
545,cfg.make_timespec.dot,-1
546,cfg.print_clump.dot,2
547,cfg.stdbuf.dot,4
548,cfg.unquote.dot,7
549,cfg.free_token.dot,5
550,cfg.chld.dot,-1
551,cfg.short_pinky.dot,1
552,cfg.ch_strerror.dot,-1
553,cfg.direntry_cmp_name.dot,-1
554,cfg.out_epoch_sec.dot,24
555,cfg.close_stream.dot,6
556,cfg.input_from_argv.dot,3
557,cfg.set_acl.dot,2
558,cfg.suffix_power.dot,9
559,cfg.set_fd_flags.dot,13
560,cfg.clear_line_control.dot,-1
561,cfg.set_mode.dot,35
562,cfg.context_user_get.dot,-1
563,cfg.print_type_indicator.dot,2
564,cfg.parse_size.dot,5
565,cfg.wc_ensure_printable.dot,3
566,cfg.mode_adjust.dot,12
567,cfg.check_section.dot,9
568,cfg.find_subexp_node.dot,5
569,cfg.xreadlink.dot,2
570,cfg.context_role_get.dot,-1
571,cfg.record_line_starts.dot,5
572,cfg.utimens.dot,-1
573,cfg.disable_core_dumps.dot,2
574,cfg.dump_strings.dot,24
575,cfg.fadvise.dot,2
576,cfg.set_program_name.dot,5
577,cfg.memcpy_uppcase.dot,2
578,cfg.is_empty_dir.dot,4
579,cfg.unary_operator.dot,43
580,cfg.add_ignore_pattern.dot,-1
581,cfg.finalize_tab_stops.dot,7
