
Mathematica cannot find a valid password.

For automatic Web Activation enter your activation key
(enter return to skip Web Activation): 
Automatic Web Activation received a password.

Creating password file entry in
/home/gabe/.Mathematica/Licensing/mathpass.

test_number, cfg_file, cyclomatic_complexity, npath_complexity, path_cplxty_class, path_cplxty_asym, path_cplxty
55,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanIntrospectionData_setUpWriteMethodNames_0_basic.dot,3,3,Exponential,2.92*1.22^n,1. + 0.02*0.72^n + 0.45*1.06^n + 2.92*1.22^n
56,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_access$000_0_basic.dot,1,1,Constant,1.,1.
57,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_access$100_0_basic.dot,1,1,Constant,1.,1.
58,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_clear_0_basic.dot,3,3,Constant,3.,3.
59,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_<clinit>_0_basic.dot,1,1,Constant,1.,1.
60,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_clone_0_basic.dot,7,7,Exponential,6.48*1.22^n,3. + 0.01*0.72^n + 0.5700000000000001*1.06^n + 6.48*1.22^n
61,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_containsKey_0_basic.dot,2,2,Constant,2.,2.
62,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_containsValue_0_basic.dot,1,1,Constant,1.,1.
63,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_convertType_0_basic.dot,3,3,Constant,3.,3.
64,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_createTypeTransformers_0_basic.dot,1,1,Constant,1.,1.
65,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_createWriteMethodArguments_0_basic.dot,9,9,Constant,9.,9.
66,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_entryIterator_0_basic.dot,1,1,Constant,1.,1.
67,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_entrySet_0_basic.dot,1,1,Constant,1.,1.
68,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_firePropertyChange_0_basic.dot,1,1,Constant,1.,1.
69,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_get_0_basic.dot,7,7,Constant,7.,7.
70,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getBean_0_basic.dot,1,1,Constant,1.,1.
71,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getReadMethod_0_basic.dot,1,1,Constant,1.,1.
72,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getType_0_basic.dot,1,1,Constant,1.,1.
73,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getTypeTransformer_0_basic.dot,1,1,Constant,1.,1.
74,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_getWriteMethod_0_basic.dot,1,1,Constant,1.,1.
75,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_<init>_0_basic.dot,1,1,Constant,1.,1.
76,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_initialise_0_basic.dot,8,9,Exponential,9.86*1.32^n,2.75 + 0.03*0.87^n + 0.6*1.1^n + 0.93*1.1400000000000001^n + 9.86*1.32^n
77,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_keyIterator_0_basic.dot,1,1,Constant,1.,1.
78,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_keySet_0_basic.dot,1,1,Constant,1.,1.
79,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_logInfo_0_basic.dot,1,1,Constant,1.,1.
80,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_logWarn_0_basic.dot,1,1,Constant,1.,1.
81,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_put_0_basic.dot,7,7,Constant,7.,7.
82,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_putAllWriteable_0_basic.dot,3,3,Exponential,2.92*1.22^n,1. + 0.02*0.72^n + 0.45*1.06^n + 2.92*1.22^n
83,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_reinitialise_0_basic.dot,1,1,Constant,1.,1.
84,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_setBean_0_basic.dot,1,1,Constant,1.,1.
85,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_size_0_basic.dot,1,1,Constant,1.,1.
86,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_toString_0_basic.dot,1,1,Constant,1.,1.
87,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_valueIterator_0_basic.dot,1,1,Constant,1.,1.
88,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap_values_0_basic.dot,2,2,Polynomial,0.5*n,1. + 0.5*n
89,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_<init>_0_basic.dot,1,1,Constant,1.,1.
90,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_iterator_0_basic.dot,1,1,Constant,1.,1.
91,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$10_size_0_basic.dot,1,1,Constant,1.,1.
92,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_hasNext_0_basic.dot,1,1,Constant,1.,1.
93,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_<init>_0_basic.dot,1,1,Constant,1.,1.
94,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_next_0_basic.dot,1,1,Constant,1.,1.
95,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$11_remove_0_basic.dot,1,1,Constant,1.,1.
96,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_hasNext_0_basic.dot,1,1,Constant,1.,1.
97,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_<init>_0_basic.dot,1,1,Constant,1.,1.
98,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_next_0_basic.dot,1,1,Constant,1.,1.
99,../cfgs/apache_cfgs/commons-beanutils-1.9.2/org_apache_commons_beanutils_BeanMap$12_remove_0_basic.dot,1,1,Constant,1.,1.
